_IDSKU,IsMain,Label,Name,url
80104817,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104817_2.jpg
80104817,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104817_3.jpg
80104817,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104817_4.jpg
80104817,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104817_5.jpg
80104852,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104852_2.jpg
80104852,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104852_3.jpg
80104852,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104852_4.jpg
80104852,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104852_5.jpg
440114779,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114779_2.jpg
440114779,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114779_3.jpg
440114779,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114779_4.jpg
440114779,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114779_5.jpg
360125377,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360125377_2.jpg
360125377,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360125377_3.jpg
360125377,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360125377_4.jpg
360125377,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360125377_5.jpg
330101164,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/330101164_2.jpg
330101164,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/330101164_3.jpg
330101164,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/330101164_4.jpg
330101164,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/330101164_5.jpg
310104919,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104919_2.jpg
310104919,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104919_3.jpg
310104919,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104919_4.jpg
310104919,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104919_5.jpg
440114440,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114440_2.jpg
440114440,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114440_3.jpg
440114440,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114440_4.jpg
440114440,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114440_5.jpg
80104812,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104812_2.jpg
80104812,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104812_3.jpg
80104812,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104812_4.jpg
80104812,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104812_5.jpg
440114421,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114421_2.jpg
440114421,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114421_3.jpg
440114421,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114421_4.jpg
440114421,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114421_5.jpg
580100909,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100909_2.jpg
580100909,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100909_3.jpg
580100909,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100909_4.jpg
580100909,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100909_5.jpg
310104924,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104924_2.jpg
310104924,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104924_3.jpg
310104924,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104924_4.jpg
310104924,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104924_5.jpg
350111752,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111752_2.jpg
350111752,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111752_3.jpg
350111752,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111752_4.jpg
350111752,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111752_5.jpg
390100595,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/390100595_2.jpg
390100595,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/390100595_3.jpg
390100595,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/390100595_4.jpg
390100595,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/390100595_5.jpg
80104853,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104853_2.jpg
80104853,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104853_3.jpg
80104853,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104853_4.jpg
80104853,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104853_5.jpg
10107805,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/10107805_2.jpg
10107805,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/10107805_3.jpg
10107805,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/10107805_4.jpg
10107805,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/10107805_5.jpg
30103287,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103287_2.jpg
30103287,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103287_3.jpg
30103287,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103287_4.jpg
30103287,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103287_5.jpg
360127377,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360127377_2.jpg
360127377,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360127377_3.jpg
360127377,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360127377_4.jpg
360127377,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360127377_5.jpg
580100923,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100923_2.jpg
580100923,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100923_3.jpg
580100923,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100923_4.jpg
580100923,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100923_5.jpg
80104840,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104840_2.jpg
80104840,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104840_3.jpg
